,Well,Fluor,Target,Content,Sample,Cq,SQ
,H09,FAM,0,Unkn-32,5.2_B,21.6945277291902,827664.420841656
,H10,FAM,0,Unkn-32,5.2_B,21.7002429949497,824413.070256409
,H11,FAM,0,Unkn-40,15.2_B,21.4277102949046,994623.091724283
,H12,FAM,0,Unkn-40,15.2_B,21.4318833172491,991768.704809223
,A01,VIC,,Std-01,STD1,17.9360232439659,30000000
,A02,VIC,,Std-01,STD1,17.9830225889544,30000000
,A03,VIC,,Unkn-01,7.2_D,27.2516406347736,47146.5046876492
,A04,VIC,,Unkn-01,7.2_D,27.1815943456282,49481.9535854488
,A05,VIC,,Unkn-09,2.3_D,27.1324173806482,51190.3746298195
,A06,VIC,,Unkn-09,2.3_D,27.1675304720961,49964.630117144
,A07,VIC,,Unkn-17,5.4_C,28.3070420392446,22755.0839570922
,A08,VIC,,Unkn-17,5.4_C,28.3476202542183,22126.5939073023
,A09,VIC,,Unkn-25,8.1_B,26.6449304180508,71666.9986088398
,A10,VIC,,Unkn-25,8.1_B,26.5455619573869,76754.9294541452
,A11,VIC,,Unkn-33,2.2_A,27.7664921161807,33045.7567633947
,A12,VIC,,Unkn-33,2.2_A,27.2726212867142,46468.6721311194
,B01,VIC,,Std-02,STD2,21.1828223060508,3000000
,B02,VIC,,Std-02,STD2,21.1658775548762,3000000
,B03,VIC,,Unkn-02,10.2_A,27.1707246011177,49854.5950162193
,B04,VIC,,Unkn-02,10.2_A,27.4358202437893,41518.259096153
,B05,VIC,,Unkn-10,9.3_C,27.7841418286227,32645.6227977108
,B06,VIC,,Unkn-10,9.3_C,27.6741625945966,35220.2750622947
,B07,VIC,,Unkn-18,10.2_D,26.3277969008531,89204.00263491
,B08,VIC,,Unkn-18,10.2_D,26.3373651663975,88616.8121493346
,B09,VIC,,Unkn-26,13.4_C,26.7541457669756,66463.0728691679
,B10,VIC,,Unkn-26,13.4_C,26.7263676443356,67749.6865509671
,B11,VIC,,Unkn-34,10.5_B,27.2349880140241,47691.5406736772
,B12,VIC,,Unkn-34,10.5_B,27.5444984724411,38517.7884807953
,C01,VIC,,Std-03,STD3,24.4703055483124,300000
,C02,VIC,,Std-03,STD3,24.54427438676,300000
,C03,VIC,,Unkn-03,7.5_A,27.2056131011584,48668.3795017765
,C04,VIC,,Unkn-03,7.5_A,27.1080884693976,52057.251301776
,C05,VIC,,Unkn-11,10.2_B,27.1047537951101,52177.2093319439
,C06,VIC,,Unkn-11,10.2_B,27.0570184478426,53925.002388222
,C07,VIC,,Unkn-19,7.2_B,27.2239635856566,48055.8292989261
,C08,VIC,,Unkn-19,7.2_B,27.2096963310454,48531.4069244371
,C09,VIC,,Unkn-27,14.5_B,26.9154823319752,59458.9953173971
,C10,VIC,,Unkn-27,14.5_B,26.9188625536794,59320.4311342529
,C11,VIC,,Unkn-35,11.2_C,26.9007867501593,60065.1780809558
,C12,VIC,,Unkn-35,11.2_C,26.8216873376439,63435.7244131285
,D01,VIC,,Std-04,STD4,27.9941311807908,30000
,D02,VIC,,Std-04,STD4,28.0598606800884,30000
,D03,VIC,,Unkn-04,13.1_A,27.3158384841271,45102.9880136372
,D04,VIC,,Unkn-04,13.1_A,27.1365207978832,51045.5928630064
,D05,VIC,,Unkn-12,17.5_D,27.212672592916,48431.8107219173
,D06,VIC,,Unkn-12,17.5_D,27.1105311605704,51969.5555609949
,D07,VIC,,Unkn-20,6.2_A,27.0249284807671,55132.7405658765
,D08,VIC,,Unkn-20,6.2_A,27.0171916999199,55427.9462830901
,D09,VIC,,Unkn-28,5.5_D,27.0666966417568,53565.973426672
,D10,VIC,,Unkn-28,5.5_D,27.1324002227418,51190.9808772914
,D11,VIC,,Unkn-36,11.2_A,27.1079374100198,52062.6793829613
,D12,VIC,,Unkn-36,11.2_A,27.2501984593434,47193.4593298816
,E01,VIC,,Std-05,STD5,31.0152714531942,3000
,E02,VIC,,Std-05,STD5,31.2424617825311,3000
,E03,VIC,,Unkn-05,17.4_D,27.221706134126,48130.7665355985
,E04,VIC,,Unkn-05,17.4_D,27.097426687465,52441.7587749093
,E05,VIC,,Unkn-13,14.5_A,27.4569113681761,40918.2244955574
,E06,VIC,,Unkn-13,14.5_A,27.5021117672048,39661.3361143868
,E07,VIC,,Unkn-21,15.1_D,27.1373552997284,51016.199095717
,E08,VIC,,Unkn-21,15.1_D,27.1092209630902,52016.5749434583
,E09,VIC,,Unkn-29,5.1_D,26.6117852664414,73325.4827516824
,E10,VIC,,Unkn-29,5.1_D,26.5934526338216,74259.2210270379
,E11,VIC,,Unkn-37,17.3_B,27.4749038385785,40413.2047110165
,E12,VIC,,Unkn-37,17.3_B,27.5577761133798,38166.3992276555
,F01,VIC,,Std-06,STD6,34.765846082614,300
,F02,VIC,,Std-06,STD6,34.5033465294891,300
,F03,VIC,,Unkn-06,7.4_A,27.3431343321667,44261.1821523039
,F04,VIC,,Unkn-06,7.4_A,27.2796860385099,46242.6278667643
,F07,VIC,,Unkn-22,7.3_B,27.2956520909533,45735.8192359373
,F08,VIC,,Unkn-22,7.3_B,27.5176990931355,39236.9124769288
,F09,VIC,,Unkn-30,5.3_C,28.1464664850887,25422.2022107876
,F10,VIC,,Unkn-30,5.3_C,28.1631516720128,25131.1032821343
,G03,VIC,,Unkn-07,3.1_D,28.404656833278,21272.4282616188
,G04,VIC,,Unkn-07,3.1_D,28.205859904519,24401.0871501833
,G05,VIC,,Unkn-15,13.4_A,27.3207133934949,44951.4798015483
,G06,VIC,,Unkn-15,13.4_A,27.2282895785293,47912.5516593954
,G07,VIC,,Unkn-23,12.2_B,27.3190075818846,45004.4370635718
,G08,VIC,,Unkn-23,12.2_B,27.1833846794376,49420.8442855207
,G09,VIC,,Unkn-31,13.1_C,27.0504719042647,54169.2209011691
,G10,VIC,,Unkn-31,13.1_C,26.9527673621229,57948.3223116852
,G11,VIC,,Unkn-39,8.2_C,26.9376294394668,58556.9795530708
,G12,VIC,,Unkn-39,8.2_C,27.014321657141,55537.8575375201
,H01,VIC,,NTC-01,NEG,40.4053588466139,NaN
,H02,VIC,,NTC-01,NEG,38.9563490224131,NaN
,H03,VIC,,Unkn-08,17.3_C,27.4414916930074,41356.0488881508
,H04,VIC,,Unkn-08,17.3_C,27.3873926228973,42929.5146946904
,H05,VIC,,Unkn-16,15.2_D,27.164877837781,50056.1957436577
,H06,VIC,,Unkn-16,15.2_D,27.2816115306964,46181.2106020106
,H07,VIC,,Unkn-24,6.2_C,27.8600511009347,30979.1938259297
,H08,VIC,,Unkn-24,6.2_C,27.8620335555291,30936.8323552166
,H09,VIC,,Unkn-32,5.2_B,27.2047960597861,48695.8336622794
,H10,VIC,,Unkn-32,5.2_B,27.2761980586706,46354.0917401087
,H11,VIC,,Unkn-40,15.2_B,27.1201936423182,51624.1056921336
,H12,VIC,,Unkn-40,15.2_B,27.1099210934917,51991.4438997899
