"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell","Plate_ID","Treatment","Time_Point"
"2.3_D",50577.5023734817,668245.276250867,13.2123028004885,27.1499739263721,245436317887.568,17.5793692578646,4852677.69996196,"Plate3","Cold-Dormancy","D"
"2.4_A",54344.9484469442,805783.421757237,14.8272000394647,27.4436279321966,233110494590.897,18.0714015629399,4289460.221284,"Plate4","Constant-Warmth","A"
"2.4_B",15723.02683,355171.6909,22.5892695306175,29.1999208,2.39e+11,17.93173207,15200635.5127488,"Plate1","Constant-Warmth","B"
"2.4_C",35317.7171863326,780086.021727071,22.0876682830722,28.0806950913056,275908317897.26,17.8169471329008,7812178.69891184,"Plate4","Constant-Warmth","C"
"2.4_D",56752.2146948634,789134.804865421,13.9049164708077,27.3820765604869,248453900322.987,18.1640727844362,4377871.44799257,"Plate5","Constant-Warmth","D"
"3.1_A",53183.9671867933,584466.470350811,10.9895237468473,28.2658717845805,1.35e+11,18.69216457,2538358.96682644,"Plate2","Cold-Dormancy","A"
"3.1_B",53511.98403,1301750.445,24.3263349060317,27.4124059,1.9e+11,18.2699677,3550606.53130487,"Plate1","Cold-Dormancy","B"
"3.1_C",27029.11243,553130.1304,20.464235806207,28.40372876,1.58e+11,18.56643936,5845548.9579685,"Plate1","Cold-Dormancy","C"
"3.1_D",22836.757705901,262850.389935764,11.509969730416,28.3052583688985,110858693972.05,18.7423979317804,4854397.25725181,"Plate3","Cold-Dormancy","D"
"3.2_A",73973.0734789327,1531182.93017347,20.6991930734032,26.9861398528936,198301412814.422,18.3155938162081,2680724.26206406,"Plate4","Cold-Dormancy","A"
"3.2_B",15731.99977,408728.2496,25.9806925740884,29.19540123,2.02e+11,18.16832284,12840071.3801943,"Plate1","Cold-Dormancy","B"
"3.2_C",61196.7539153203,1088583.37258318,17.7882535091564,27.2715870996157,184844209258.942,18.422809852508,3020490.42527184,"Plate4","Cold-Dormancy","C"
"3.2_D",65946.007110294,1090294.34490859,16.5331366171281,27.1610844913492,209894667162.045,18.4297669160113,3182826.01721433,"Plate5","Cold-Dormancy","D"
"3.3_A",57620.573758591,857728.545979948,14.8858036293341,27.3580571083471,158698128815.959,18.869048668105,2754192.09605315,"Plate5","Constant-Warmth","A"
"3.3_B",33145.4343624079,562084.783290132,16.9581359877312,28.9482402597303,1.68e+11,18.36448338,5068571.38039314,"Plate2","Constant-Warmth","B"
"3.3_C",9798.60519,169972.2745,17.3465785388992,29.89564396,75692739665,19.75134457,7724848.40416353,"Plate1","Constant-Warmth","C"
"3.3_D",50508.4802422525,696868.397775436,13.7970573343934,27.5514811166418,195470913911.677,18.3375331854835,3870061.28424662,"Plate4","Constant-Warmth","D"
"3.4_A",76948.2646957674,1807130.23733566,23.485003131397,26.9262615693688,228980656222.216,18.0986988685889,2975774.1402947,"Plate4","Cold-Dormancy","A"
"3.4_B",75967.9880873452,1242232.39130409,16.3520506805553,26.9559765593882,234623818551.094,18.2540640857909,3088456.39404498,"Plate5","Cold-Dormancy","B"
"3.4_C",20779.3642872435,510375.515290584,24.5616520426424,29.6273446020916,1.7e+11,18.33972994,8181193.49803032,"Plate2","Cold-Dormancy","C"
"3.4_D",74663.1386367918,1460487.65920333,19.561026844961,27.053231793989,2.88582e+11,17.63045853,3865120.12847254,"Plate6","Cold-Dormancy","D"
"5.1_A",36466.9794364981,651267.581092617,17.8591040759683,28.8102055073139,1.87e+11,18.2071719,5127926.76798563,"Plate2","Constant-Warmth","A"
"5.1_B",35188.9863023049,863545.961330553,24.5402340923356,28.0788847800634,152380203886.829,18.932881903772,4330337.98068937,"Plate5","Constant-Warmth","B"
"5.1_C",18412.25913,367461.8925,19.9574582296246,28.96924294,1.4e+11,18.75870722,7603629.6801782,"Plate1","Constant-Warmth","C"
"5.1_D",73792.3518893602,1043146.71749636,14.1362443503683,26.6026189501315,356137392107.904,17.0456010420422,4826210.07447865,"Plate3","Constant-Warmth","D"
"5.2_B",47524.962701194,826038.745549032,17.3811550519803,27.2404970592284,215489364514.005,17.7730467254171,4534235.32110612,"Plate3","Cold-Dormancy","B"
"5.2_C",22533.02236,428523.7146,19.0175870663806,28.66709228,1.48e+11,18.67187405,6568137.98146872,"Plate1","Cold-Dormancy","C"
"5.2_D",72976.7684170343,1382768.66716725,18.9480665855914,27.0883249151905,2.38449e+11,17.92781636,3267464.4982545,"Plate6","Cold-Dormancy","D"
"5.3_A",45627.0903880047,583921.700522088,12.7976974984931,28.4998255987676,1.19e+11,18.92134506,2608099.68350042,"Plate2","Constant-Warmth","A"
