Tortoise_ID,Treatment,Nest_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,Time_Interval,Telomere_Change,Growth_Rate,z_telo,z_growth,outlier
GT2023_N10.02,Cold-Dormancy,GT2023_N10,11,0.035684211,0.357894737,0.513186813,Winter_2023,-125630.1076,0.035684211,0.4011706276747632,0.9363519951159724,FALSE
GT2023_N10.02,Cold-Dormancy,GT2023_N10,11,0.035684211,0.357894737,0.513186813,Early_Spring_2024,1273820.417,0.357894737,0.381614550454532,1.1142151518161558,FALSE
GT2023_N10.02,Cold-Dormancy,GT2023_N10,11,0.035684211,0.357894737,0.513186813,Late_Spring_2024,-1910205.723,0.513186813,0.631753835124981,0.8185413861902268,FALSE
GT2023_N10.03,Constant-Warmth,GT2023_N10,12,0.392105263,1.284210526,0.104395604,Early_Spring_2024,-870446.4595,1.284210526,0.1348702740448669,0.582548315738541,FALSE
GT2023_N10.03,Constant-Warmth,GT2023_N10,12,0.392105263,1.284210526,0.104395604,Late_Spring_2024,-428386.5308,0.104395604,0.19693565510024413,1.8855405244778447,FALSE
GT2023_N10.04,Cold-Dormancy,GT2023_N10,1,0.033684211,0.557894737,0.692307692,Winter_2023,2130160.121,0.033684211,0.18398516183387864,0.9418205946013273,FALSE
GT2023_N10.04,Cold-Dormancy,GT2023_N10,1,0.033684211,0.557894737,0.692307692,Early_Spring_2024,2232589.287,0.557894737,0.6125510896439612,0.7478684938613283,FALSE
GT2023_N10.04,Cold-Dormancy,GT2023_N10,1,0.033684211,0.557894737,0.692307692,Late_Spring_2024,-617503.7628,0.692307692,0.25242934222645136,0.35101219443033094,FALSE
GT2023_N10.05,Constant-Warmth,GT2023_N10,2,0.504315789,0.473684211,0.373626374,Winter_2023,408141.9883,0.504315789,0.2627092458343547,0.34502720801993564,FALSE
GT2023_N10.05,Constant-Warmth,GT2023_N10,2,0.504315789,0.473684211,0.373626374,Early_Spring_2024,-2132113.155,0.473684211,0.43876514316940707,0.9021197176849189,FALSE
GT2023_N10.05,Constant-Warmth,GT2023_N10,2,0.504315789,0.473684211,0.373626374,Late_Spring_2024,3838206.169,0.373626374,1.0550336016074733,1.182812595730943,FALSE
GT2023_N10.06,Cold-Dormancy,GT2023_N10,3,0.029157895,0.657894737,0.882417582,Winter_2023,-708560.4194,0.029157895,0.5523837336210312,0.954196899275404,FALSE
GT2023_N10.06,Cold-Dormancy,GT2023_N10,3,0.029157895,0.657894737,0.882417582,Early_Spring_2024,-5610087.291,0.657894737,1.2764970882608084,0.5646951648839144,FALSE
GT2023_N11.01,Cold-Dormancy,GT2023_N11,9,0.071368421,0.689473684,0.614285714,Winter_2023,134554.93,0.071368421,0.333678190140067,0.8387806688953259,FALSE
GT2023_N11.01,Cold-Dormancy,GT2023_N11,9,0.071368421,0.689473684,0.614285714,Early_Spring_2024,-650162.2337,0.689473684,0.08181089932374692,0.5068509564080013,FALSE
GT2023_N11.01,Cold-Dormancy,GT2023_N11,9,0.071368421,0.689473684,0.614285714,Late_Spring_2024,2208695.552,0.614285714,0.5768775319975348,0.5546598792647068,FALSE
GT2023_N11.02,Constant-Warmth,GT2023_N11,5,0.59,0.994736842,1.118681319,Winter_2023,232833.3705,0.59,0.3081845969356374,0.5793135241087526,FALSE
GT2023_N11.02,Constant-Warmth,GT2023_N11,5,0.59,0.994736842,1.118681319,Early_Spring_2024,724746.2389,0.994736842,0.2493602664280865,0.05230973224218149,FALSE
GT2023_N11.02,Constant-Warmth,GT2023_N11,5,0.59,0.994736842,1.118681319,Late_Spring_2024,-1234689.049,1.118681319,0.43353334215852235,0.7618793809791743,FALSE
GT2023_N11.03,Cold-Dormancy,GT2023_N11,6,0.048,0.689473684,0.378021978,Winter_2023,5675883.194,0.048,1.1037517065484537,0.9026769364224033,FALSE
GT2023_N11.03,Cold-Dormancy,GT2023_N11,6,0.048,0.689473684,0.378021978,Early_Spring_2024,-7320604.463,0.689473684,1.6885055798650148,0.5068509564080013,FALSE
GT2023_N11.03,Cold-Dormancy,GT2023_N11,6,0.048,0.689473684,0.378021978,Late_Spring_2024,1854756.642,0.378021978,0.4730193329026431,1.1713394877555374,FALSE
GT2023_N11.04,Constant-Warmth,GT2023_N11,8,0.648421053,1.263157895,0.93956044,Early_Spring_2024,-659173.4237,1.263157895,0.08398140474762286,0.5439855106985099,FALSE
GT2023_N11.04,Constant-Warmth,GT2023_N11,8,0.648421053,1.263157895,0.93956044,Late_Spring_2024,-1506684.135,0.93956044,0.5133463239937779,0.2943501892192784,FALSE
