Well,Fluor,,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
E08,VIC,,,Unkn-21,13.2_C,,29.34877917,29.30293232,0.064837237,25137.27431,4.400318184,25958.59873,1161.528129,62,
E09,VIC,,,Unkn-29,11.3_B,,30.15802323,30.13876718,0.02723217,14377.87551,4.157694719,14571.56987,273.9251941,62,
E10,VIC,,,Unkn-29,11.3_B,,30.11951113,30.13876718,0.02723217,14765.26423,4.169241223,14571.56987,273.9251941,62,
E11,VIC,,,Unkn-37,15.3_B,,28.27053022,28.33085903,0.085317815,52916.77127,4.723593338,50802.1865,2990.474463,62,
E12,VIC,,,Unkn-37,15.3_B,,28.39118783,28.33085903,0.085317815,48687.60173,4.687418382,50802.1865,2990.474463,62,
F01,VIC,,,Std-06,STD6,,35.66503325,35.62816894,0.052134011,300,2.477121255,300,0,62,
F02,VIC,,,Std-06,STD6,,35.59130462,35.62816894,0.052134011,300,2.477121255,300,0,62,
F03,VIC,,,Unkn-06,5.3_D,,29.58450749,29.54005197,0.062869603,21362.06887,4.329643311,22038.20572,956.2019043,62,
F04,VIC,,,Unkn-06,5.3_D,,29.49559645,29.54005197,0.062869603,22714.34257,4.356300171,22038.20572,956.2019043,62,
F05,VIC,,,Unkn-14,6.4_C,,29.20981243,29.20269826,0.010060961,27668.3009,4.44198249,27804.85685,193.1192767,62,
F06,VIC,,,Unkn-14,6.4_C,,29.19558409,29.20269826,0.010060961,27941.4128,4.446248361,27804.85685,193.1192767,62,
F07,VIC,,,Unkn-22,15.4_A,,29.11901925,29.1394928,0.028953967,29458.02615,4.469203643,29047.49901,580.5730456,62,
F08,VIC,,,Unkn-22,15.4_A,,29.15996634,29.1394928,0.028953967,28636.97187,4.456927093,29047.49901,580.5730456,62,
F09,VIC,,,Unkn-30,17.5_B,,29.20137598,29.24842235,0.066533616,27829.91404,4.444511865,26954.77288,1237.636499,62,
F10,VIC,,,Unkn-30,17.5_B,,29.29546872,29.24842235,0.066533616,26079.63171,4.416301454,26954.77288,1237.636499,62,
F11,VIC,,,Unkn-38,5.4_B,,28.00118593,27.97446211,0.037793201,63730.42018,4.804346782,64928.12907,1693.816154,62,
F12,VIC,,,Unkn-38,5.4_B,,27.94773828,27.97446211,0.037793201,66125.83796,4.820371189,64928.12907,1693.816154,62,
G03,VIC,,,Unkn-07,9.6_D,,29.29736938,29.35416805,0.080325443,26045.43458,4.415731608,25063.18715,1389.107643,62,
G04,VIC,,,Unkn-07,9.6_D,,29.41096671,29.35416805,0.080325443,24080.93971,4.38167343,25063.18715,1389.107643,62,
