,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,G11,SYBR,,Unkn-39,2.2_B,,18.1240741803295,18.0059478579464,0.167055847187356,196350509311.201,11.2930320321191,212794928955.444,23255921286.2432,60,
,G12,SYBR,,Unkn-39,2.2_B,,17.8878215355634,18.0059478579464,0.167055847187356,229239348599.687,11.360289165708,212794928955.444,23255921286.2432,60,
,H01,SYBR,,NTC-01,NEG,,28.6802363216103,28.6032708485214,0.108845615876745,NaN,NaN,NaN,NaN,60,
,H02,SYBR,,NTC-01,NEG,,28.5263053754325,28.6032708485214,0.108845615876745,NaN,NaN,NaN,NaN,60,
,H03,SYBR,,Unkn-08,2.2_D,,19.3922409365085,19.3277429473064,0.0912139310753719,85507930939.8166,10.9320063978119,89280357555.3969,5335016882.81095,60,
,H04,SYBR,,Unkn-08,2.2_D,,19.2632449581043,19.3277429473064,0.0912139310753719,93052784170.9773,10.9687293718999,89280357555.3969,5335016882.81095,60,
,H05,SYBR,,Unkn-16,12.5_B,,18.353086750868,18.3389491593915,0.0199935736052656,168980279942.358,11.2278360252532,170560871896.751,2235294578.48049,60,
,H06,SYBR,,Unkn-16,12.5_B,,18.3248115679151,18.3389491593915,0.0199935736052656,172141463851.144,11.235885491785,170560871896.751,2235294578.48049,60,
,H07,SYBR,,Unkn-24,9.5_A,,18.592613237653,18.8053105433263,0.300799414363262,144426499140.208,11.159646884193,126853695485.074,24851697258.0098,60,
,H08,SYBR,,Unkn-24,9.5_A,,19.0180078489995,18.8053105433263,0.300799414363262,109280891829.94,11.0385442305838,126853695485.074,24851697258.0098,60,
,H09,SYBR,,Unkn-32,17.2_A,,18.9604646487045,18.7052972347591,0.360861217477288,113481693138.053,11.0549258068121,136023743094.515,31879272772.1203,60,
,H10,SYBR,,Unkn-32,17.2_A,,18.4501298208137,18.7052972347591,0.360861217477288,158565793050.977,11.2002095039684,136023743094.515,31879272772.1203,60,
,H11,SYBR,,Unkn-40,17.2_C,,18.3456799956392,18.2736708925125,0.101836250256029,169802704552.426,11.2299446032391,178208337172.505,11887359651.6417,60,
,H12,SYBR,,Unkn-40,17.2_C,,18.2016617893859,18.2736708925125,0.101836250256029,186613969792.584,11.2709441516117,178208337172.505,11887359651.6417,60,
