Well,,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
D01,,SYBR,,Std-04,STD4,,27.85475592,27.73792889,0.165218369,300000000,8.477121255,300000000,0,60,
D02,,SYBR,,Std-04,STD4,,27.62110186,27.73792889,0.165218369,300000000,8.477121255,300000000,0,60,
D03,,SYBR,,Unkn-04,13.3_D,,18.708789,18.61795903,0.128452965,1.34E+11,11.12657361,1.42E+11,11967665043,60,
D04,,SYBR,,Unkn-04,13.3_D,,18.52712907,18.61795903,0.128452965,1.51E+11,11.17828912,1.42E+11,11967665043,60,
D05,,SYBR,,Unkn-12,12.2_D,,17.6864412,17.7767853,0.127765847,2.62E+11,11.41761874,2.47E+11,20660711571,60,
D06,,SYBR,,Unkn-12,12.2_D,,17.86712939,17.7767853,0.127765847,2.32E+11,11.36617987,2.47E+11,20660711571,60,
D07,,SYBR,,Unkn-20,3.4_C,,18.35540768,18.33972994,0.022171671,1.69E+11,11.2271753,1.70E+11,2477547071,60,
D08,,SYBR,,Unkn-20,3.4_C,,18.32405221,18.33972994,0.022171671,1.72E+11,11.23610167,1.70E+11,2477547071,60,
D09,,SYBR,,Unkn-28,10.4_C,,18.17885509,18.25321301,0.105157976,1.89E+11,11.27743683,1.81E+11,12441132764,60,
D10,,SYBR,,Unkn-28,10.4_C,,18.32757093,18.25321301,0.105157976,1.72E+11,11.23509995,1.81E+11,12441132764,60,
D11,,SYBR,,Unkn-36,15.1_B,,17.88859362,18.02248657,0.189353237,2.29E+11,11.36006937,2.11E+11,26083137778,60,
D12,,SYBR,,Unkn-36,15.1_B,,18.15637953,18.02248657,0.189353237,1.92E+11,11.28383524,2.11E+11,26083137778,60,
E03,,SYBR,,Unkn-05,8.1_C,,18.40990441,18.39939333,0.014864906,1.63E+11,11.211661,1.64E+11,1597336090,60,
E04,,SYBR,,Unkn-05,8.1_C,,18.38888225,18.39939333,0.014864906,1.65E+11,11.21764565,1.64E+11,1597336090,60,
E05,,SYBR,,Unkn-13,3.1_A,,18.75695179,18.69216457,0.091622964,1.30E+11,11.11286248,1.35E+11,8128652194,60,
E06,,SYBR,,Unkn-13,3.1_A,,18.62737735,18.69216457,0.091622964,1.41E+11,11.14975013,1.35E+11,8128652194,60,
E07,,SYBR,,Unkn-21,13.2_C,,18.22728228,18.35412268,0.179379424,1.84E+11,11.26365043,1.69E+11,19878855171,60,
E08,,SYBR,,Unkn-21,13.2_C,,18.48096309,18.35412268,0.179379424,1.55E+11,11.19143179,1.69E+11,19878855171,60,
E09,,SYBR,,Unkn-29,11.3_B,,18.325071,18.35178684,0.037781902,1.72E+11,11.23581164,1.69E+11,4188798499,60,
E10,,SYBR,,Unkn-29,11.3_B,,18.37850268,18.35178684,0.037781902,1.66E+11,11.22060054,1.69E+11,4188798499,60,
E11,,SYBR,,Unkn-37,15.3_B,,18.72863889,18.6867994,0.059169975,1.32E+11,11.12092268,1.36E+11,5267043047,60,
E12,,SYBR,,Unkn-37,15.3_B,,18.64495991,18.6867994,0.059169975,1.40E+11,11.14474467,1.36E+11,5267043047,60,
