Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
F12,VIC,,Unkn-38,5.2_C,,28.67681732,28.66709228,0.013753291,22382.01087,4.349899102,22533.02236,213.5625015,62,
G03,VIC,,Unkn-07,3.1_C,,28.44782249,28.40372876,0.062357956,26208.04193,4.418434575,27029.11243,1161.169033,62,
G04,VIC,,Unkn-07,3.1_C,,28.35963503,28.40372876,0.062357956,27850.18293,4.444828052,27029.11243,1161.169033,62,
G05,VIC,,Unkn-15,17.3_A,,27.58148182,27.61848174,0.052325793,47612.41428,4.677720204,46428.82815,1673.843559,62,
G06,VIC,,Unkn-15,17.3_A,,27.65548167,27.61848174,0.052325793,45245.24202,4.655572916,46428.82815,1673.843559,62,
G07,VIC,,Unkn-23,10.6_B,,29.73216129,29.50372,0.32306477,10815.50991,4.034046999,12816.70411,2830.115988,62,
G08,VIC,,Unkn-23,10.6_B,,29.27527871,29.50372,0.32306477,14817.89832,4.17078661,12816.70411,2830.115988,62,
G09,VIC,,Unkn-31,2.4_B,,29.37617525,29.1999208,0.249261427,13822.59096,4.140589457,15723.02683,2687.622174,62,
G10,VIC,,Unkn-31,2.4_B,,29.02366636,29.1999208,0.249261427,17623.46269,4.246091243,15723.02683,2687.622174,62,
G11,VIC,,Unkn-39,12.4_A,,28.53435138,28.62001912,0.121152479,24690.93245,4.392537491,23316.02608,1944.411241,62,
G12,VIC,,Unkn-39,12.4_A,,28.70568686,28.62001912,0.121152479,21941.1197,4.341258787,23316.02608,1944.411241,62,
H01,VIC,,NTC-01,NEG,,36.80343337,37.75350482,1.343603934,NaN,NaN,NaN,NaN,62,
H02,VIC,,NTC-01,NEG,,38.70357627,37.75350482,1.343603934,NaN,NaN,NaN,NaN,62,
H03,VIC,,Unkn-08,7.1_D,,28.46725709,28.39206412,0.106338907,25859.37531,4.412618029,27271.26045,1996.707117,62,
H04,VIC,,Unkn-08,7.1_D,,28.31687116,28.39206412,0.106338907,28683.1456,4.457626777,27271.26045,1996.707117,62,
H05,VIC,,Unkn-16,13.4_D,,29.03188693,29.09180293,0.084734015,17523.90627,4.243630922,16829.40927,982.1670838,62,
H06,VIC,,Unkn-16,13.4_D,,29.15171892,29.09180293,0.084734015,16134.91226,4.207766608,16829.40927,982.1670838,62,
H07,VIC,,Unkn-24,17.2_B,,29.60966125,29.6896782,0.113161061,11768.19422,4.070709827,11153.76876,868.9288172,62,
H08,VIC,,Unkn-24,17.2_B,,29.76969516,29.6896782,0.113161061,10539.34331,4.022813551,11153.76876,868.9288172,62,
H09,VIC,,Unkn-32,3.2_B,,29.33790792,29.19540123,0.201534895,14191.96133,4.152042419,15731.99977,2177.943242,62,
H10,VIC,,Unkn-32,3.2_B,,29.05289454,29.19540123,0.201534895,17272.0382,4.23734359,15731.99977,2177.943242,62,
H11,VIC,,Unkn-40,7.4_D,,28.58711519,28.71957662,0.187328752,23809.26014,4.3767459,21822.70971,2809.406558,62,
H12,VIC,,Unkn-40,7.4_D,,28.85203805,28.71957662,0.187328752,19836.15928,4.297457587,21822.70971,2809.406558,62,
